Country,Continent,Least Developed,Life Expectancy,CO2 emissions,Health expenditure,Electric power consumption,Forest area,GDP per capita,Individuals using the Internet,People using at least basic drinking water services,Obesity among adults,Beer consumption per capita,High GDP per capita
Albania,Europe,False,73.955,1.026213109,7.2333703,1414.703784,28.07664234,3860.804627,0.114097347,86.75447063,12.8,1.33431,False
Albania,Europe,False,74.288,1.055495882,7.13952398,1449.647413,28.12324818,4299.546493,0.325798377,86.90407032,13.3,1.48995,False
Albania,Europe,False,74.579,1.232378783,6.90934134,1351.230796,28.16985401,4661.402695,0.390081273,87.45163517,13.9,1.28697,False
Albania,Europe,False,74.828,1.338984981,7.06348991,1578.165919,28.21645985,5000.049363,0.971900415,87.98719397,14.4,1.4483,False
Albania,Europe,False,75.039,1.404058688,6.77337217,1469.264539,28.26306569,5427.732662,2.420387798,88.51058296,15.0,1.37617,False
Albania,Europe,False,75.228,1.338209399,6.33554173,1797.525487,28.30967153,5865.301904,6.043890864,89.02118831,15.6,1.6518,False
Albania,Europe,False,75.423,1.339995739,6.00927734,1722.07285,28.35627737,6566.572828,9.609991316,89.51913233,16.2,1.7933,False
Albania,Europe,False,75.646,1.39393137,6.31683397,1218.360146,28.40288321,7283.342638,15.03611541,90.00418728,16.9,1.94369,False
Albania,Europe,False,75.912,1.384311249,5.1390624,1213.124369,28.44948905,8228.348041,23.86,90.47615076,17.5,2.12835,False
Albania,Europe,False,76.221,1.441493562,4.6022253,1617.744156,28.49609489,8813.029461,41.2,90.93441293,18.1,2.20543,False
Albania,Europe,False,76.562,1.527623663,4.7457962,1835.684072,28.54270073,9628.721962,45.0,91.37947821,18.7,1.71,False
Albania,Europe,False,76.914,1.66942319,4.79534149,1943.343354,28.59465328,10207.76757,47.0,91.81088697,19.3,1.88,False
Albania,Europe,False,77.252,1.50324046,5.05526543,2205.70392,28.64660584,10526.25918,49.4,92.22877874,19.9,1.34,False
Albania,Europe,False,77.554,1.533630039,5.38561106,2118.327776,28.69855839,10570.96373,51.8,92.63159485,20.5,1.34,False
Albania,Europe,False,77.813,1.668337371,5.50347328,2533.252829,28.75051095,11259.26751,54.3,93.02005646,21.1,1.29,False
Albania,Europe,False,78.025,1.60377515,4.89631176,2309.366503,28.8024635,11658.90552,56.9,93.39432534,21.7,1.48,False
Algeria,Africa,False,70.64,2.578744484,3.48903275,652.8013246,0.662960693,8436.99096,0.491705679,89.84882827,15.0,0.11978,False
Algeria,Africa,False,71.116,2.50067461,3.83787704,683.2948063,0.677193984,8770.253502,0.646114017,90.11344378,15.5,0.10026,False
Algeria,Africa,False,71.605,2.586712195,3.7300415,709.0914831,0.691427276,9286.56088,1.59164126,90.37379792,16.1,0.17177,False
Algeria,Africa,False,72.101,2.733373662,3.60104108,730.808966,0.705660567,10022.96478,2.195359731,90.62972314,16.7,0.19139,False
Algeria,Africa,False,72.594,2.737354064,3.5440731,786.4144235,0.719893859,10594.04572,4.634475088,90.88125597,17.3,0.23826,False
Algeria,Africa,False,73.072,2.841351373,3.2351613,804.1073343,0.734127151,11411.19178,5.843942092,91.12824941,17.9,0.29652,False
Algeria,Africa,False,73.521,2.966914681,3.35510182,890.6259238,0.748360442,11788.56019,7.375984956,91.37095552,18.6,0.17637,False
Algeria,Africa,False,73.936,3.007289846,3.8214159,862.4295937,0.762593734,12326.07701,9.451190626,91.60922889,19.2,0.16596,False
Algeria,Africa,False,74.311,3.102451083,4.20188379,894.2845864,0.776827026,12655.21847,10.18,91.84330409,19.9,0.20481,False
Algeria,Africa,False,74.644,3.174573294,5.3593955,947.2913284,0.791060317,12719.17915,11.23,92.07203717,20.7,0.19895,False
Algeria,Africa,False,74.938,3.173654529,5.11717176,866.3073024,0.805293609,13096.88473,12.5,92.29597417,21.4,0.18,False
Algeria,Africa,False,75.199,3.294742583,5.26748085,1016.636782,0.808484553,13500.04479,14.9,92.51499419,22.2,0.21,False
Algeria,Africa,False,75.436,3.609307651,6.00050974,1123.332915,0.811675498,13303.32752,18.2,92.74518845,23.1,0.23,False
Algeria,Africa,False,75.661,3.644979345,6.03576279,1237.966109,0.814866442,13056.80259,22.5,92.97088353,23.9,0.26,False
Algeria,Africa,False,75.878,3.795632251,6.54721403,1278.915242,0.818057387,13003.26686,29.5,93.19235149,24.8,0.28,False
